Time,Temporada,V,D,E,GF,GT,Subiu,Situação,Permanecimento
Flamengo,2015,7,10,2,21,28,0,F,5
Santos,2015,6,7,6,25,24,0,F,5
Internacional,2015,6,6,7,14,21,0,F,5
Joinville,2015,4,11,4,13,21,1,R,0
Ponte Preta,2015,6,5,8,21,21,1,F,0
Flamengo,2016,10,5,4,23,19,0,F,5
Palmeiras,2016,11,5,3,35,20,0,F,2
Atletico-MG,2016,10,4,5,33,25,0,F,5
Coritiba,2016,5,8,6,21,26,0,F,5
Santa Cruz,2016,5,11,3,20,26,1,R,0
Botafogo-RJ,2016,6,8,5,25,30,1,F,0
America-MG,2016,3,12,4,12,30,1,R,0
Figueirense,2016,4,6,9,18,23,0,R,2
Corinthians,2016,10,5,4,28,15,0,F,5
Internacional,2016,6,9,4,21,23,0,R,5
Ponte Preta,2016,8,8,3,23,31,0,F,1
Fluminense,2016,7,5,7,23,20,0,F,5
Cruzeiro,2016,5,10,4,24,32,0,F,5
Santos,2016,10,6,3,32,17,0,F,5
Athletico-PR,2016,9,7,3,20,18,0,F,3
Vitoria,2016,5,7,7,24,28,1,F,0
Chapecoense,2016,5,5,9,27,33,0,F,2
Sao Paulo,2016,7,7,5,21,20,0,F,5
Gremio,2016,9,5,5,27,21,0,F,5
Sport,2016,6,8,5,29,29,0,F,2
Flamengo,2017,7,4,8,27,19,0,F,5
Corinthians,2017,14,0,5,32,9,0,F,5
Fluminense,2017,6,5,8,29,27,0,F,5
Cruzeiro,2017,7,6,6,21,16,0,F,5
Ponte Preta,2017,6,8,5,20,24,0,R,2
Avai,2017,4,9,6,10,25,1,R,0
Bahia,2017,6,8,5,24,24,1,F,0
Palmeiras,2017,10,7,2,28,20,0,F,3
Gremio,2017,12,4,3,35,18,0,F,5
Coritiba,2017,7,8,4,21,25,0,R,5
Santos,2017,10,4,5,22,13,0,F,5
Atletico-GO,2017,3,13,3,16,34,1,R,0
Chapecoense,2017,6,9,4,24,33,0,F,3
Vasco,2017,7,9,3,21,30,1,F,0
Vitoria,2017,5,10,4,21,30,0,F,1
Athletico-PR,2017,7,7,5,21,22,0,F,4
Atletico-MG,2017,6,8,5,19,23,0,F,5
Botafogo-RJ,2017,6,6,7,21,20,0,F,1
Sport,2017,8,7,4,30,26,0,F,3
Sao Paulo,2017,5,10,4,22,26,0,F,5
Cruzeiro,2018,7,7,5,15,16,0,F,5
Vitoria,2018,5,10,4,20,39,0,R,2
Santos,2018,5,8,6,21,23,0,F,5
America-MG,2018,6,9,4,18,24,1,R,0
Vasco,2018,5,8,6,23,29,0,F,1
Internacional,2018,11,3,5,27,12,1,F,0
Corinthians,2018,7,7,5,22,16,0,F,5
Athletico-PR,2018,5,8,6,21,19,0,F,5
Sao Paulo,2018,12,2,5,32,16,0,F,5
Botafogo-RJ,2018,5,7,7,18,25,0,F,2
Bahia,2018,6,6,7,22,23,0,F,1
Flamengo,2018,11,4,4,29,15,0,F,5
Parana,2018,3,11,5,9,25,1,R,0
Ceara,2018,3,9,7,11,22,1,F,0
Atletico-MG,2018,10,6,3,36,26,0,F,5
Fluminense,2018,6,8,5,19,24,0,F,5
Chapecoense,2018,4,6,9,19,26,0,F,4
Palmeiras,2018,9,4,6,29,15,0,F,4
Gremio,2018,10,3,6,23,8,0,F,5
Sport,2018,5,9,5,19,30,0,R,4
Sao Paulo,2019,8,3,8,21,13,0,F,5
Atletico-MG,2019,8,8,3,24,23,0,F,5
Chapecoense,2019,3,11,5,17,32,0,R,5
Flamengo,2019,13,3,3,42,18,0,F,5
Gremio,2019,7,5,7,27,22,0,F,5
Ceara,2019,6,9,4,21,20,0,F,1
Bahia,2019,8,4,7,22,16,0,F,2
Athletico-PR,2019,8,9,2,25,19,0,F,5
Palmeiras,2019,11,2,6,30,14,0,F,5
Fluminense,2019,5,11,3,21,29,0,F,5
CSA,2019,3,9,7,8,25,1,R,0
Internacional,2019,10,6,3,25,17,0,F,1
Corinthians,2019,8,3,8,21,12,0,F,5
Cruzeiro,2019,4,9,6,16,28,0,R,5
Avai,2019,2,10,7,10,25,1,R,0
Goias,2019,6,10,3,17,32,1,F,0
Vasco,2019,6,8,5,18,26,0,F,2
Fortaleza,2019,6,9,4,22,26,1,F,0
Santos,2019,11,4,4,30,19,0,F,5
Botafogo-RJ,2019,8,8,3,18,19,0,F,3
Sport,2020,7,9,3,19,26,1,F,0
Coritiba,2020,5,10,4,16,24,1,R,0
Fortaleza,2020,6,6,7,17,14,0,F,1
Flamengo,2020,10,4,5,33,25,0,F,5
Santos,2020,8,5,6,27,23,0,F,5
Gremio,2020,7,3,9,23,18,0,F,5
Athletico-PR,2020,5,10,4,15,20,0,F,5
Bragantino,2020,4,8,7,22,26,1,F,0
Atletico-MG,2020,10,7,2,31,25,0,F,5
Bahia,2020,6,9,4,25,29,0,F,3
Atletico-GO,2020,5,7,7,17,25,1,F,0
Ceara,2020,6,7,6,24,27,0,F,2
Fluminense,2020,9,5,5,29,21,0,F,5
Sao Paulo,2020,10,2,7,32,15,0,F,5
Internacional,2020,10,4,5,30,16,0,F,2
Vasco,2020,5,8,6,21,26,0,R,3
Palmeiras,2020,7,4,8,26,21,0,F,5
Goias,2020,2,11,6,21,36,0,R,1
Corinthians,2020,6,7,6,22,26,0,F,5
Botafogo-RJ,2020,3,5,11,19,26,0,R,4
Cuiaba,2021,5,5,9,19,19,1,F,0
Bahia,2021,6,10,3,24,32,0,R,4
Sao Paulo,2021,5,6,8,15,20,0,F,5
Atletico-MG,2021,13,3,3,29,14,0,F,5
Ceara,2021,5,5,9,20,21,0,F,3
Flamengo,2021,11,5,3,38,20,0,F,5
Chapecoense,2021,0,12,7,15,31,1,R,0
Corinthians,2021,7,5,7,18,16,0,F,5
Athletico-PR,2021,7,8,4,25,23,0,F,5
Internacional,2021,5,5,9,23,23,0,F,3
Atletico-GO,2021,6,6,7,15,19,0,F,1
Santos,2021,5,7,7,20,25,0,F,5
Bragantino,2021,8,2,9,30,20,0,F,1
Fluminense,2021,6,6,7,18,20,0,F,5
America-MG,2021,4,8,7,15,22,1,F,0
Fortaleza,2021,9,4,6,29,20,0,F,2
Palmeiras,2021,12,5,2,31,21,0,F,5
Juventude,2021,5,6,8,16,21,1,F,0
Sport,2021,3,8,8,8,14,0,R,1
Gremio,2021,4,10,5,15,22,0,R,5
Fluminense,2022,10,5,4,29,20,0,F,5
Atletico-GO,2022,4,10,5,18,28,0,R,2
Palmeiras,2022,11,2,6,31,13,0,F,5
Coritiba,2022,6,9,4,22,30,1,F,0
Botafogo-RJ,2022,7,9,3,19,24,1,F,0
Atletico-MG,2022,8,3,8,27,20,0,F,5
Fortaleza,2022,3,10,6,15,23,0,F,3
Avai,2022,6,10,3,20,30,1,R,0
Sao Paulo,2022,5,3,11,28,24,0,F,5
Juventude,2022,3,9,7,16,32,0,R,1
Goias,2022,5,7,7,21,25,1,F,0
Corinthians,2022,10,4,5,24,19,0,F,5
America-MG,2022,6,10,3,13,22,0,F,1
Cuiaba,2022,5,9,5,14,20,0,F,1
Santos,2022,6,5,8,22,16,0,F,5
Flamengo,2022,9,7,3,26,18,0,F,5
Athletico-PR,2022,9,6,4,24,20,0,F,5
Internacional,2022,7,3,9,27,20,0,F,4
Bragantino,2022,7,6,6,30,23,0,F,2
Ceara,2022,5,5,9,20,19,0,R,4
Palmeiras,2023,9,3,7,34,17,0,F,5
America-MG,2023,2,13,4,19,42,0,R,2
Bragantino,2023,8,3,8,27,17,0,F,3
Athletico-PR,2023,9,6,4,28,22,0,F,5
Fortaleza,2023,7,7,5,21,19,0,F,4
Botafogo-RJ,2023,15,2,2,35,11,0,F,1
Atletico-MG,2023,7,6,6,22,17,0,F,5
Flamengo,2023,9,5,5,31,24,0,F,5
Corinthians,2023,6,7,6,24,25,0,F,5
Gremio,2023,10,5,4,32,27,1,F,0
Fluminense,2023,9,6,4,25,19,0,F,5
Cuiaba,2023,8,7,4,21,21,0,F,2
Sao Paulo,2023,7,6,6,24,19,0,F,5
Cruzeiro,2023,6,7,6,19,16,1,F,0
Internacional,2023,6,7,6,17,23,0,F,5
Santos,2023,4,9,6,19,31,0,R,5
Vasco,2023,4,11,4,15,29,1,F,0
Coritiba,2023,3,11,5,18,36,0,R,1
Goias,2023,6,9,4,18,27,0,R,1
Bahia,2023,4,9,6,18,25,1,F,0
Internacional,2024,7,5,7,19,17,0,F,5
Criciuma,2024,6,7,6,27,28,1,R,0
Fluminense,2024,4,10,5,15,24,0,F,5
Sao Paulo,2024,9,5,5,28,20,0,F,5
Athletico-PR,2024,8,7,4,21,18,0,R,5
Vasco,2024,8,9,2,21,28,0,F,1
Atletico-GO,2024,2,11,6,16,29,1,R,0
Corinthians,2024,4,8,7,17,25,0,F,5
Cruzeiro,2024,10,6,3,25,20,0,F,1
Vitoria,2024,4,12,3,20,32,1,F,0
Bahia,2024,9,6,4,28,23,0,F,1
Gremio,2024,4,12,3,16,26,0,F,1
Bragantino,2024,7,7,5,24,23,0,F,4
Atletico-MG,2024,7,5,7,27,27,0,F,5
Fortaleza,2024,9,4,6,24,20,0,F,5
Juventude,2024,5,7,7,20,24,1,F,0
Palmeiras,2024,11,5,3,27,14,0,F,5
Flamengo,2024,11,3,5,33,20,0,F,5
Botafogo-RJ,2024,12,3,4,31,16,0,F,2
Cuiaba,2024,4,9,6,18,23,0,R,3
